warning: `VIRTUAL_ENV=/opt/homebrew/opt/python@3.13/Frameworks/Python.framework/Versions/3.13` does not match the project environment path `.venv` and will be ignored; use `--active` to target the active environment instead
Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 1080ms | tok/sec: 30,342 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.083334 | lrm: 1.00 | dt: 575ms | tok/sec: 56,992 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.033645 | lrm: 1.00 | dt: 569ms | tok/sec: 57,626 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.786590 | lrm: 1.00 | dt: 558ms | tok/sec: 58,698 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.504376 | lrm: 1.00 | dt: 550ms | tok/sec: 59,617 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.285370 | lrm: 1.00 | dt: 550ms | tok/sec: 59,572 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.100784 | lrm: 1.00 | dt: 548ms | tok/sec: 59,780 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.942751 | lrm: 1.00 | dt: 548ms | tok/sec: 59,767 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.797296 | lrm: 1.00 | dt: 556ms | tok/sec: 58,884 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.657814 | lrm: 1.00 | dt: 573ms | tok/sec: 57,145 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.530397 | lrm: 1.00 | dt: 574ms | tok/sec: 57,069 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.398400 | lrm: 1.00 | dt: 552ms | tok/sec: 59,344 | mfu: 0.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 7.283058 | lrm: 1.00 | dt: 583ms | tok/sec: 56,213 | mfu: 0.3% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 7.173245 | lrm: 1.00 | dt: 634ms | tok/sec: 51,652 | mfu: 0.3% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 7.066883 | lrm: 1.00 | dt: 631ms | tok/sec: 51,923 | mfu: 0.3% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 6.974352 | lrm: 1.00 | dt: 637ms | tok/sec: 51,475 | mfu: 0.3% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 6.883756 | lrm: 1.00 | dt: 656ms | tok/sec: 49,974 | mfu: 0.3% | epoch: 1 | remaining: 296s    
step 00017 (1.2%) | loss: 6.803988 | lrm: 1.00 | dt: 646ms | tok/sec: 50,728 | mfu: 0.3% | epoch: 1 | remaining: 296s    
step 00018 (1.4%) | loss: 6.736793 | lrm: 1.00 | dt: 632ms | tok/sec: 51,837 | mfu: 0.3% | epoch: 1 | remaining: 295s    
step 00149 (30.1%) | loss: 4.686509 | lrm: 1.00 | dt: 675ms | tok/sec: 48,563 | mfu: 0.3% | epoch: 1 | remaining: 209s    
step 00150 (30.3%) | loss: 4.668898 | lrm: 1.00 | dt: 662ms | tok/sec: 49,503 | mfu: 0.3% | epoch: 1 | remaining: 208s    
step 00151 (30.5%) | loss: 4.657397 | lrm: 1.00 | dt: 673ms | tok/sec: 48,722 | mfu: 0.3% | epoch: 1 | remaining: 208s    
step 00152 (30.8%) | loss: 4.649114 | lrm: 1.00 | dt: 659ms | tok/sec: 49,718 | mfu: 0.3% | epoch: 1 | remaining: 207s    
step 00153 (31.0%) | loss: 4.643414 | lrm: 1.00 | dt: 663ms | tok/sec: 49,403 | mfu: 0.3% | epoch: 1 | remaining: 206s    
step 00154 (31.2%) | loss: 4.633823 | lrm: 1.00 | dt: 672ms | tok/sec: 48,768 | mfu: 0.3% | epoch: 1 | remaining: 206s    
step 00155 (31.4%) | loss: 4.631801 | lrm: 1.00 | dt: 675ms | tok/sec: 48,522 | mfu: 0.3% | epoch: 1 | remaining: 205s    
step 00156 (31.6%) | loss: 4.625153 | lrm: 1.00 | dt: 647ms | tok/sec: 50,656 | mfu: 0.3% | epoch: 1 | remaining: 204s    
step 00157 (31.9%) | loss: 4.620385 | lrm: 1.00 | dt: 721ms | tok/sec: 45,451 | mfu: 0.3% | epoch: 1 | remaining: 204s    
step 00158 (32.1%) | loss: 4.607794 | lrm: 1.00 | dt: 650ms | tok/sec: 50,392 | mfu: 0.3% | epoch: 1 | remaining: 203s    
step 00159 (32.3%) | loss: 4.597904 | lrm: 1.00 | dt: 680ms | tok/sec: 48,193 | mfu: 0.3% | epoch: 1 | remaining: 202s    
step 00160 (32.5%) | loss: 4.573627 | lrm: 1.00 | dt: 736ms | tok/sec: 44,539 | mfu: 0.3% | epoch: 1 | remaining: 202s    
step 00161 (32.8%) | loss: 4.577373 | lrm: 1.00 | dt: 767ms | tok/sec: 42,735 | mfu: 0.2% | epoch: 1 | remaining: 201s    
step 00162 (33.0%) | loss: 4.564520 | lrm: 1.00 | dt: 721ms | tok/sec: 45,435 | mfu: 0.3% | epoch: 1 | remaining: 200s    
step 00163 (33.3%) | loss: 4.555888 | lrm: 1.00 | dt: 710ms | tok/sec: 46,166 | mfu: 0.3% | epoch: 1 | remaining: 199s    
step 00164 (33.5%) | loss: 4.543647 | lrm: 1.00 | dt: 730ms | tok/sec: 44,904 | mfu: 0.3% | epoch: 1 | remaining: 199s    
step 00165 (33.8%) | loss: 4.531793 | lrm: 1.00 | dt: 748ms | tok/sec: 43,820 | mfu: 0.3% | epoch: 1 | remaining: 198s    
step 00166 (34.0%) | loss: 4.524892 | lrm: 1.00 | dt: 703ms | tok/sec: 46,584 | mfu: 0.3% | epoch: 1 | remaining: 197s    
step 00167 (34.2%) | loss: 4.528003 | lrm: 1.00 | dt: 675ms | tok/sec: 48,568 | mfu: 0.3% | epoch: 1 | remaining: 197s    
step 00168 (34.5%) | loss: 4.529565 | lrm: 1.00 | dt: 658ms | tok/sec: 49,777 | mfu: 0.3% | epoch: 1 | remaining: 196s    
step 00169 (34.7%) | loss: 4.517152 | lrm: 1.00 | dt: 690ms | tok/sec: 47,480 | mfu: 0.3% | epoch: 1 | remaining: 195s    
step 00170 (34.9%) | loss: 4.508951 | lrm: 1.00 | dt: 655ms | tok/sec: 50,061 | mfu: 0.3% | epoch: 1 | remaining: 195s    
step 00171 (35.1%) | loss: 4.504706 | lrm: 1.00 | dt: 647ms | tok/sec: 50,645 | mfu: 0.3% | epoch: 1 | remaining: 194s    
step 00172 (35.4%) | loss: 4.505009 | lrm: 1.00 | dt: 723ms | tok/sec: 45,321 | mfu: 0.3% | epoch: 1 | remaining: 193s    
step 00173 (35.6%) | loss: 4.498056 | lrm: 1.00 | dt: 776ms | tok/sec: 42,228 | mfu: 0.2% | epoch: 1 | remaining: 192s    
step 00174 (35.9%) | loss: 4.492461 | lrm: 1.00 | dt: 704ms | tok/sec: 46,561 | mfu: 0.3% | epoch: 1 | remaining: 192s    
step 00175 (36.1%) | loss: 4.484143 | lrm: 1.00 | dt: 707ms | tok/sec: 46,327 | mfu: 0.3% | epoch: 1 | remaining: 191s    
step 00176 (36.3%) | loss: 4.469263 | lrm: 1.00 | dt: 699ms | tok/sec: 46,879 | mfu: 0.3% | epoch: 1 | remaining: 190s    
step 00177 (36.6%) | loss: 4.466473 | lrm: 1.00 | dt: 684ms | tok/sec: 47,890 | mfu: 0.3% | epoch: 1 | remaining: 190s    
step 00178 (36.8%) | loss: 4.465632 | lrm: 1.00 | dt: 675ms | tok/sec: 48,512 | mfu: 0.3% | epoch: 1 | remaining: 189s    
step 00179 (37.0%) | loss: 4.450152 | lrm: 1.00 | dt: 669ms | tok/sec: 48,960 | mfu: 0.3% | epoch: 1 | remaining: 188s    
step 00180 (37.2%) | loss: 4.454276 | lrm: 1.00 | dt: 654ms | tok/sec: 50,137 | mfu: 0.3% | epoch: 1 | remaining: 188s    
step 00181 (37.5%) | loss: 4.446948 | lrm: 1.00 | dt: 668ms | tok/sec: 49,045 | mfu: 0.3% | epoch: 1 | remaining: 187s    
step 00182 (37.7%) | loss: 4.450294 | lrm: 1.00 | dt: 687ms | tok/sec: 47,677 | mfu: 0.3% | epoch: 1 | remaining: 186s    
step 00183 (37.9%) | loss: 4.448597 | lrm: 1.00 | dt: 749ms | tok/sec: 43,739 | mfu: 0.3% | epoch: 1 | remaining: 186s    
step 00184 (38.2%) | loss: 4.451365 | lrm: 1.00 | dt: 693ms | tok/sec: 47,286 | mfu: 0.3% | epoch: 1 | remaining: 185s    
step 00185 (38.4%) | loss: 4.438309 | lrm: 1.00 | dt: 669ms | tok/sec: 48,992 | mfu: 0.3% | epoch: 1 | remaining: 184s    
step 00186 (38.6%) | loss: 4.439318 | lrm: 1.00 | dt: 696ms | tok/sec: 47,112 | mfu: 0.3% | epoch: 1 | remaining: 183s    
step 00187 (38.8%) | loss: 4.434094 | lrm: 1.00 | dt: 644ms | tok/sec: 50,851 | mfu: 0.3% | epoch: 1 | remaining: 183s    
step 00188 (39.1%) | loss: 4.427845 | lrm: 1.00 | dt: 686ms | tok/sec: 47,770 | mfu: 0.3% | epoch: 1 | remaining: 182s    
step 00189 (39.3%) | loss: 4.425065 | lrm: 1.00 | dt: 656ms | tok/sec: 49,969 | mfu: 0.3% | epoch: 1 | remaining: 182s    
step 00190 (39.5%) | loss: 4.420059 | lrm: 1.00 | dt: 683ms | tok/sec: 48,000 | mfu: 0.3% | epoch: 1 | remaining: 181s    
step 00191 (39.7%) | loss: 4.420434 | lrm: 1.00 | dt: 670ms | tok/sec: 48,918 | mfu: 0.3% | epoch: 1 | remaining: 180s    
step 00192 (40.0%) | loss: 4.410065 | lrm: 1.00 | dt: 682ms | tok/sec: 48,076 | mfu: 0.3% | epoch: 1 | remaining: 179s    
step 00193 (40.2%) | loss: 4.407177 | lrm: 1.00 | dt: 680ms | tok/sec: 48,222 | mfu: 0.3% | epoch: 1 | remaining: 179s    
step 00194 (40.4%) | loss: 4.400536 | lrm: 1.00 | dt: 661ms | tok/sec: 49,549 | mfu: 0.3% | epoch: 1 | remaining: 178s    
step 00195 (40.6%) | loss: 4.402850 | lrm: 1.00 | dt: 655ms | tok/sec: 50,021 | mfu: 0.3% | epoch: 1 | remaining: 177s    
step 00196 (40.8%) | loss: 4.393037 | lrm: 1.00 | dt: 658ms | tok/sec: 49,812 | mfu: 0.3% | epoch: 1 | remaining: 177s    
step 00197 (41.1%) | loss: 4.382162 | lrm: 1.00 | dt: 683ms | tok/sec: 47,959 | mfu: 0.3% | epoch: 1 | remaining: 176s    
step 00198 (41.3%) | loss: 4.381204 | lrm: 1.00 | dt: 674ms | tok/sec: 48,606 | mfu: 0.3% | epoch: 1 | remaining: 175s    
step 00199 (41.5%) | loss: 4.387767 | lrm: 1.00 | dt: 677ms | tok/sec: 48,377 | mfu: 0.3% | epoch: 1 | remaining: 175s    
step 00200 (41.7%) | loss: 4.378376 | lrm: 1.00 | dt: 663ms | tok/sec: 49,444 | mfu: 0.3% | epoch: 1 | remaining: 174s    
step 00201 (42.0%) | loss: 4.370188 | lrm: 1.00 | dt: 682ms | tok/sec: 48,041 | mfu: 0.3% | epoch: 1 | remaining: 173s    
step 00202 (42.2%) | loss: 4.360347 | lrm: 1.00 | dt: 659ms | tok/sec: 49,736 | mfu: 0.3% | epoch: 1 | remaining: 173s    
step 00203 (42.4%) | loss: 4.367335 | lrm: 1.00 | dt: 667ms | tok/sec: 49,155 | mfu: 0.3% | epoch: 1 | remaining: 172s    
step 00204 (42.6%) | loss: 4.362348 | lrm: 1.00 | dt: 675ms | tok/sec: 48,532 | mfu: 0.3% | epoch: 1 | remaining: 171s    
step 00205 (42.9%) | loss: 4.365591 | lrm: 1.00 | dt: 679ms | tok/sec: 48,276 | mfu: 0.3% | epoch: 1 | remaining: 171s    
step 00206 (43.1%) | loss: 4.361489 | lrm: 1.00 | dt: 677ms | tok/sec: 48,374 | mfu: 0.3% | epoch: 1 | remaining: 170s    
step 00207 (43.3%) | loss: 4.345286 | lrm: 1.00 | dt: 683ms | tok/sec: 47,961 | mfu: 0.3% | epoch: 1 | remaining: 169s    
step 00208 (43.5%) | loss: 4.323822 | lrm: 1.00 | dt: 680ms | tok/sec: 48,153 | mfu: 0.3% | epoch: 1 | remaining: 169s    
step 00209 (43.8%) | loss: 4.335160 | lrm: 1.00 | dt: 678ms | tok/sec: 48,312 | mfu: 0.3% | epoch: 1 | remaining: 168s    
step 00210 (44.0%) | loss: 4.322394 | lrm: 1.00 | dt: 682ms | tok/sec: 48,018 | mfu: 0.3% | epoch: 1 | remaining: 167s    
step 00211 (44.2%) | loss: 4.307363 | lrm: 1.00 | dt: 700ms | tok/sec: 46,779 | mfu: 0.3% | epoch: 1 | remaining: 167s    
step 00212 (44.4%) | loss: 4.305210 | lrm: 1.00 | dt: 769ms | tok/sec: 42,600 | mfu: 0.2% | epoch: 1 | remaining: 166s    
step 00213 (44.7%) | loss: 4.299743 | lrm: 1.00 | dt: 671ms | tok/sec: 48,863 | mfu: 0.3% | epoch: 1 | remaining: 165s    
step 00214 (44.9%) | loss: 4.309375 | lrm: 1.00 | dt: 771ms | tok/sec: 42,522 | mfu: 0.2% | epoch: 1 | remaining: 164s    
step 00215 (45.2%) | loss: 4.311574 | lrm: 1.00 | dt: 823ms | tok/sec: 39,805 | mfu: 0.2% | epoch: 1 | remaining: 164s    
step 00216 (45.5%) | loss: 4.308160 | lrm: 1.00 | dt: 798ms | tok/sec: 41,047 | mfu: 0.2% | epoch: 1 | remaining: 163s    
step 00217 (45.7%) | loss: 4.308888 | lrm: 1.00 | dt: 751ms | tok/sec: 43,631 | mfu: 0.2% | epoch: 1 | remaining: 162s    
step 00218 (46.0%) | loss: 4.306187 | lrm: 1.00 | dt: 741ms | tok/sec: 44,209 | mfu: 0.3% | epoch: 1 | remaining: 161s    
step 00219 (46.2%) | loss: 4.298417 | lrm: 1.00 | dt: 670ms | tok/sec: 48,932 | mfu: 0.3% | epoch: 1 | remaining: 161s    
step 00220 (46.4%) | loss: 4.296756 | lrm: 1.00 | dt: 739ms | tok/sec: 44,325 | mfu: 0.3% | epoch: 1 | remaining: 160s    
step 00221 (46.7%) | loss: 4.299727 | lrm: 1.00 | dt: 673ms | tok/sec: 48,656 | mfu: 0.3% | epoch: 1 | remaining: 159s    
step 00222 (46.9%) | loss: 4.296524 | lrm: 1.00 | dt: 668ms | tok/sec: 49,060 | mfu: 0.3% | epoch: 1 | remaining: 159s    
step 00223 (47.1%) | loss: 4.290776 | lrm: 1.00 | dt: 687ms | tok/sec: 47,721 | mfu: 0.3% | epoch: 1 | remaining: 158s    
step 00224 (47.4%) | loss: 4.279265 | lrm: 1.00 | dt: 659ms | tok/sec: 49,722 | mfu: 0.3% | epoch: 1 | remaining: 157s    
step 00225 (47.6%) | loss: 4.273749 | lrm: 1.00 | dt: 756ms | tok/sec: 43,364 | mfu: 0.2% | epoch: 1 | remaining: 156s    
step 00226 (47.8%) | loss: 4.268743 | lrm: 1.00 | dt: 668ms | tok/sec: 49,053 | mfu: 0.3% | epoch: 1 | remaining: 156s    
step 00227 (48.1%) | loss: 4.269300 | lrm: 1.00 | dt: 700ms | tok/sec: 46,795 | mfu: 0.3% | epoch: 1 | remaining: 155s    
step 00228 (48.3%) | loss: 4.265510 | lrm: 1.00 | dt: 685ms | tok/sec: 47,855 | mfu: 0.3% | epoch: 1 | remaining: 154s    
step 00229 (48.5%) | loss: 4.269415 | lrm: 1.00 | dt: 720ms | tok/sec: 45,534 | mfu: 0.3% | epoch: 1 | remaining: 154s    
step 00230 (48.8%) | loss: 4.272253 | lrm: 1.00 | dt: 672ms | tok/sec: 48,746 | mfu: 0.3% | epoch: 1 | remaining: 153s    
step 00231 (49.0%) | loss: 4.258515 | lrm: 1.00 | dt: 697ms | tok/sec: 47,034 | mfu: 0.3% | epoch: 1 | remaining: 152s    
step 00232 (49.2%) | loss: 4.266057 | lrm: 1.00 | dt: 732ms | tok/sec: 44,736 | mfu: 0.3% | epoch: 1 | remaining: 152s    
step 00233 (49.5%) | loss: 4.264058 | lrm: 1.00 | dt: 710ms | tok/sec: 46,158 | mfu: 0.3% | epoch: 1 | remaining: 151s    
step 00234 (49.7%) | loss: 4.272511 | lrm: 1.00 | dt: 718ms | tok/sec: 45,651 | mfu: 0.3% | epoch: 1 | remaining: 150s    
step 00235 (49.9%) | loss: 4.262431 | lrm: 1.00 | dt: 657ms | tok/sec: 49,899 | mfu: 0.3% | epoch: 1 | remaining: 150s    
step 00236 (50.2%) | loss: 4.252022 | lrm: 1.00 | dt: 688ms | tok/sec: 47,656 | mfu: 0.3% | epoch: 1 | remaining: 149s    
step 00237 (50.4%) | loss: 4.243761 | lrm: 0.99 | dt: 662ms | tok/sec: 49,509 | mfu: 0.3% | epoch: 1 | remaining: 148s    
step 00238 (50.6%) | loss: 4.243125 | lrm: 0.99 | dt: 746ms | tok/sec: 43,948 | mfu: 0.3% | epoch: 1 | remaining: 147s    
step 00239 (50.9%) | loss: 4.237889 | lrm: 0.98 | dt: 678ms | tok/sec: 48,341 | mfu: 0.3% | epoch: 1 | remaining: 147s    
step 00240 (51.1%) | loss: 4.241466 | lrm: 0.98 | dt: 725ms | tok/sec: 45,180 | mfu: 0.3% | epoch: 1 | remaining: 146s    
step 00241 (51.3%) | loss: 4.232794 | lrm: 0.97 | dt: 712ms | tok/sec: 46,052 | mfu: 0.3% | epoch: 1 | remaining: 145s    
step 00242 (51.6%) | loss: 4.232981 | lrm: 0.97 | dt: 682ms | tok/sec: 48,063 | mfu: 0.3% | epoch: 1 | remaining: 145s    
step 00243 (51.8%) | loss: 4.226362 | lrm: 0.96 | dt: 673ms | tok/sec: 48,716 | mfu: 0.3% | epoch: 1 | remaining: 144s    
step 00244 (52.0%) | loss: 4.215295 | lrm: 0.96 | dt: 711ms | tok/sec: 46,109 | mfu: 0.3% | epoch: 1 | remaining: 143s    
step 00245 (52.3%) | loss: 4.216047 | lrm: 0.95 | dt: 690ms | tok/sec: 47,467 | mfu: 0.3% | epoch: 1 | remaining: 143s    
step 00246 (52.5%) | loss: 4.208453 | lrm: 0.95 | dt: 707ms | tok/sec: 46,321 | mfu: 0.3% | epoch: 1 | remaining: 142s    
step 00247 (52.7%) | loss: 4.210149 | lrm: 0.95 | dt: 691ms | tok/sec: 47,433 | mfu: 0.3% | epoch: 1 | remaining: 141s    
step 00248 (52.9%) | loss: 4.211626 | lrm: 0.94 | dt: 679ms | tok/sec: 48,256 | mfu: 0.3% | epoch: 1 | remaining: 140s    
step 00249 (53.2%) | loss: 4.204453 | lrm: 0.94 | dt: 672ms | tok/sec: 48,742 | mfu: 0.3% | epoch: 1 | remaining: 140s    
step 00250 (53.4%) | loss: 4.198591 | lrm: 0.93 | dt: 661ms | tok/sec: 49,595 | mfu: 0.3% | epoch: 1 | remaining: 139s    
step 00251 (53.6%) | loss: 4.201911 | lrm: 0.93 | dt: 674ms | tok/sec: 48,652 | mfu: 0.3% | epoch: 1 | remaining: 138s    
step 00252 (53.8%) | loss: 4.204807 | lrm: 0.92 | dt: 666ms | tok/sec: 49,235 | mfu: 0.3% | epoch: 1 | remaining: 138s    
step 00253 (54.1%) | loss: 4.203639 | lrm: 0.92 | dt: 720ms | tok/sec: 45,541 | mfu: 0.3% | epoch: 1 | remaining: 137s    
step 00254 (54.3%) | loss: 4.202370 | lrm: 0.91 | dt: 711ms | tok/sec: 46,107 | mfu: 0.3% | epoch: 1 | remaining: 136s    
step 00255 (54.5%) | loss: 4.203123 | lrm: 0.91 | dt: 667ms | tok/sec: 49,161 | mfu: 0.3% | epoch: 1 | remaining: 136s    
step 00256 (54.8%) | loss: 4.197492 | lrm: 0.90 | dt: 653ms | tok/sec: 50,147 | mfu: 0.3% | epoch: 1 | remaining: 135s    
step 00257 (55.0%) | loss: 4.189479 | lrm: 0.90 | dt: 666ms | tok/sec: 49,227 | mfu: 0.3% | epoch: 1 | remaining: 134s    
step 00258 (55.2%) | loss: 4.185324 | lrm: 0.90 | dt: 667ms | tok/sec: 49,108 | mfu: 0.3% | epoch: 1 | remaining: 134s    
step 00259 (55.4%) | loss: 4.192281 | lrm: 0.89 | dt: 660ms | tok/sec: 49,651 | mfu: 0.3% | epoch: 1 | remaining: 133s    
step 00260 (55.6%) | loss: 4.191129 | lrm: 0.89 | dt: 661ms | tok/sec: 49,539 | mfu: 0.3% | epoch: 1 | remaining: 132s    
step 00261 (55.9%) | loss: 4.199813 | lrm: 0.88 | dt: 666ms | tok/sec: 49,191 | mfu: 0.3% | epoch: 1 | remaining: 132s    
step 00262 (56.1%) | loss: 4.187213 | lrm: 0.88 | dt: 659ms | tok/sec: 49,715 | mfu: 0.3% | epoch: 1 | remaining: 131s    
step 00263 (56.3%) | loss: 4.182921 | lrm: 0.87 | dt: 719ms | tok/sec: 45,555 | mfu: 0.3% | epoch: 1 | remaining: 130s    
step 00264 (56.5%) | loss: 4.169617 | lrm: 0.87 | dt: 694ms | tok/sec: 47,226 | mfu: 0.3% | epoch: 1 | remaining: 130s    
step 00265 (56.8%) | loss: 4.173900 | lrm: 0.86 | dt: 678ms | tok/sec: 48,339 | mfu: 0.3% | epoch: 1 | remaining: 129s    
step 00266 (57.0%) | loss: 4.157196 | lrm: 0.86 | dt: 667ms | tok/sec: 49,145 | mfu: 0.3% | epoch: 1 | remaining: 128s    
step 00267 (57.2%) | loss: 4.153088 | lrm: 0.86 | dt: 678ms | tok/sec: 48,339 | mfu: 0.3% | epoch: 1 | remaining: 128s    
step 00268 (57.5%) | loss: 4.152802 | lrm: 0.85 | dt: 658ms | tok/sec: 49,799 | mfu: 0.3% | epoch: 1 | remaining: 127s    
step 00269 (57.7%) | loss: 4.147701 | lrm: 0.85 | dt: 693ms | tok/sec: 47,295 | mfu: 0.3% | epoch: 1 | remaining: 126s    
step 00270 (57.9%) | loss: 4.158931 | lrm: 0.84 | dt: 687ms | tok/sec: 47,723 | mfu: 0.3% | epoch: 1 | remaining: 126s    
step 00271 (58.1%) | loss: 4.150726 | lrm: 0.84 | dt: 777ms | tok/sec: 42,162 | mfu: 0.2% | epoch: 1 | remaining: 125s    
step 00272 (58.4%) | loss: 4.143508 | lrm: 0.83 | dt: 695ms | tok/sec: 47,170 | mfu: 0.3% | epoch: 1 | remaining: 124s    
step 00273 (58.6%) | loss: 4.138278 | lrm: 0.83 | dt: 682ms | tok/sec: 48,043 | mfu: 0.3% | epoch: 1 | remaining: 123s    
step 00274 (58.9%) | loss: 4.126148 | lrm: 0.82 | dt: 706ms | tok/sec: 46,446 | mfu: 0.3% | epoch: 1 | remaining: 123s    
step 00275 (59.1%) | loss: 4.132386 | lrm: 0.82 | dt: 668ms | tok/sec: 49,061 | mfu: 0.3% | epoch: 1 | remaining: 122s    
step 00276 (59.3%) | loss: 4.127544 | lrm: 0.81 | dt: 693ms | tok/sec: 47,266 | mfu: 0.3% | epoch: 1 | remaining: 121s    
step 00277 (59.5%) | loss: 4.126058 | lrm: 0.81 | dt: 693ms | tok/sec: 47,305 | mfu: 0.3% | epoch: 1 | remaining: 121s    
step 00278 (59.8%) | loss: 4.121286 | lrm: 0.80 | dt: 661ms | tok/sec: 49,556 | mfu: 0.3% | epoch: 1 | remaining: 120s    
step 00279 (60.0%) | loss: 4.119204 | lrm: 0.80 | dt: 685ms | tok/sec: 47,868 | mfu: 0.3% | epoch: 1 | remaining: 119s    
step 00280 (60.2%) | loss: 4.123289 | lrm: 0.80 | dt: 681ms | tok/sec: 48,124 | mfu: 0.3% | epoch: 1 | remaining: 119s    
step 00281 (60.4%) | loss: 4.112690 | lrm: 0.79 | dt: 665ms | tok/sec: 49,240 | mfu: 0.3% | epoch: 1 | remaining: 118s    
step 00282 (60.7%) | loss: 4.125084 | lrm: 0.79 | dt: 685ms | tok/sec: 47,836 | mfu: 0.3% | epoch: 1 | remaining: 117s    
step 00283 (60.9%) | loss: 4.121596 | lrm: 0.78 | dt: 679ms | tok/sec: 48,231 | mfu: 0.3% | epoch: 1 | remaining: 117s    
step 00284 (61.1%) | loss: 4.123575 | lrm: 0.78 | dt: 690ms | tok/sec: 47,518 | mfu: 0.3% | epoch: 1 | remaining: 116s    
step 00285 (61.4%) | loss: 4.106296 | lrm: 0.77 | dt: 758ms | tok/sec: 43,235 | mfu: 0.2% | epoch: 1 | remaining: 115s    
step 00286 (61.6%) | loss: 4.108399 | lrm: 0.77 | dt: 719ms | tok/sec: 45,560 | mfu: 0.3% | epoch: 1 | remaining: 114s    
step 00287 (61.8%) | loss: 4.086871 | lrm: 0.76 | dt: 738ms | tok/sec: 44,410 | mfu: 0.3% | epoch: 1 | remaining: 114s    
step 00288 (62.1%) | loss: 4.093615 | lrm: 0.76 | dt: 729ms | tok/sec: 44,965 | mfu: 0.3% | epoch: 1 | remaining: 113s    
step 00289 (62.3%) | loss: 4.090118 | lrm: 0.75 | dt: 733ms | tok/sec: 44,705 | mfu: 0.3% | epoch: 1 | remaining: 112s    
step 00290 (62.6%) | loss: 4.092010 | lrm: 0.75 | dt: 730ms | tok/sec: 44,872 | mfu: 0.3% | epoch: 1 | remaining: 112s    
step 00291 (62.8%) | loss: 4.083679 | lrm: 0.74 | dt: 759ms | tok/sec: 43,155 | mfu: 0.2% | epoch: 1 | remaining: 111s    
step 00292 (63.1%) | loss: 4.081130 | lrm: 0.74 | dt: 720ms | tok/sec: 45,504 | mfu: 0.3% | epoch: 1 | remaining: 110s    
step 00293 (63.3%) | loss: 4.072083 | lrm: 0.73 | dt: 744ms | tok/sec: 44,032 | mfu: 0.3% | epoch: 1 | remaining: 109s    
step 00294 (63.6%) | loss: 4.076910 | lrm: 0.73 | dt: 731ms | tok/sec: 44,807 | mfu: 0.3% | epoch: 1 | remaining: 109s    
step 00295 (63.8%) | loss: 4.079819 | lrm: 0.72 | dt: 738ms | tok/sec: 44,423 | mfu: 0.3% | epoch: 1 | remaining: 108s    
step 00296 (64.1%) | loss: 4.080947 | lrm: 0.72 | dt: 736ms | tok/sec: 44,502 | mfu: 0.3% | epoch: 1 | remaining: 107s    
step 00297 (64.3%) | loss: 4.090570 | lrm: 0.71 | dt: 739ms | tok/sec: 44,355 | mfu: 0.3% | epoch: 1 | remaining: 106s    
step 00298 (64.5%) | loss: 4.089518 | lrm: 0.71 | dt: 686ms | tok/sec: 47,779 | mfu: 0.3% | epoch: 1 | remaining: 106s    
step 00299 (64.8%) | loss: 4.092100 | lrm: 0.70 | dt: 690ms | tok/sec: 47,457 | mfu: 0.3% | epoch: 1 | remaining: 105s    
step 00300 (65.0%) | loss: 4.086672 | lrm: 0.70 | dt: 797ms | tok/sec: 41,125 | mfu: 0.2% | epoch: 1 | remaining: 104s    
step 00301 (65.3%) | loss: 4.078382 | lrm: 0.69 | dt: 719ms | tok/sec: 45,582 | mfu: 0.3% | epoch: 1 | remaining: 103s    
